gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
RASSF4	75634	905	25	128628	34344	0	1	0	0	50	1	3351132	5.576061e-02	1
SERPINB7	159863	441	-11	150714	38988	0	1	0	0	50	0	3196854	5.593984e-02	1
TMEM183A	NaN	NaN	NaN	147366	41040	0	1	0	0	50	6	6054696	5.923217e-02	1
SEMA3E	74057	955	-30	308610	78894	0	2	0	0	50	3	3504114	5.967653e-02	1
SNTN	155962	905	-12	58752	15444	0	1	0	0	50	3	3801654	6.046438e-02	1
PDCD1	559742	487	29	108810	34560	0	2	0	0	50	4	3917214	6.076299e-02	1
VGLL3	55913	332	-18	125550	35316	0	1	0	0	50	1	2956662	6.079547e-02	1
NFKBID	1060028	321	47	117558	40230	0	1	0	0	50	1	2927178	6.280848e-02	1
SCN10A	304612	680	21	756702	211572	0	4	0	0	38	0	3066120	6.322523e-02	1
WNT7B	498719	270	28	134190	37854	0	1	0	0	50	0	2973672	6.430647e-02	1
OR4K1	420010	827	-51	118800	33480	0	1	0	0	50	1	2529198	6.436077e-02	1
VPS54	352987	407	20	390204	99360	0	2	0	0	50	2	3565782	6.437540e-02	1
S100P	501655	278	47	37530	10098	0	1	0	0	50	1	2986686	6.531171e-02	1
TMEM155	326547	440	18	50868	14742	0	1	0	0	50	1	3871422	6.563340e-02	1
ADRA2B	792336	366	41	163404	54324	0	1	0	0	50	1	3934062	6.620859e-02	1
OGN	537639	574	47	117720	31482	0	1	0	0	50	2	2700432	6.838202e-02	1
GORAB	72379	883	-2	154116	41094	0	1	0	0	50	1	3289626	6.876434e-02	1
C2orf18	1266654	231	40	140346	44010	0	1	0	0	50	2	3434724	6.960335e-02	1
NXT1	188823	688	-22	54432	14742	0	1	0	0	50	1	4154490	7.015347e-02	1
STK38	942238	148	37	190188	44712	0	1	0	0	50	0	3304962	7.064727e-02	1
APOBEC3C	1386387	372	71	76464	18468	0	1	0	0	50	5	2436048	7.068995e-02	1
SMYD1	175471	543	6	195966	48816	0	1	0	0	50	0	3476682	7.233070e-02	1
RDM1	703538	424	31	122580	31644	0	1	0	0	50	4	3355884	7.255890e-02	1
FAM13C	121813	707	-15	232794	60750	0	1	0	0	50	0	3996162	7.383702e-02	1
FBXL8	1093307	150	47	134622	49572	0	1	0	0	50	1	3403620	7.387186e-02	1
TRIM59	435184	513	16	157086	39906	0	1	0	0	50	2	3292272	7.414941e-02	1
BMPER	20466	507	-17	272592	69876	0	2	0	0	50	4	3167586	7.462834e-02	1
C2orf53	1214097	238	50	147528	53190	0	1	0	0	50	2	3449790	7.558477e-02	1
SPRED1	96035	704	-21	176688	43470	0	1	0	0	50	1	3412422	7.562743e-02	1
SYT6	760371	596	13	165618	45954	0	1	0	0	50	2	3703158	7.640905e-02	1
C22orf40	519654	205	31	48870	13014	0	1	0	0	50	0	2918214	7.714570e-02	1
NIPAL3	604127	325	29	159948	44334	0	1	0	0	50	1	3083400	7.771363e-02	1
LILRB4	978578	625	-1	174906	50436	0	1	0	0	50	1	3361122	7.776565e-02	1
FAM82B	192988	1166	15	125982	32940	0	1	0	0	50	1	2387610	7.824808e-02	1
ASH1L	1960625	247	33	1143720	314766	0	3	0	0	50	0	3303882	7.841470e-02	1
STMN2	147465	518	-12	72306	18090	0	1	0	0	50	0	3941352	7.864302e-02	1
IRF9	974559	220	41	153360	43146	0	1	0	0	50	3	3726270	7.883170e-02	1
NGFRAP1	448080	NaN	32	44442	10638	0	1	0	0	50	0	2553930	7.955413e-02	1
CLEC14A	13985	544	-50	177876	60750	0	1	0	0	50	0	3252366	8.083015e-02	1
C1orf198	446793	592	12	124632	37044	0	1	0	0	50	3	3296646	8.131812e-02	1
CCDC141	163273	839	12	347004	86508	0	2	0	0	50	2	2849796	8.152879e-02	1
ZNF486	375734	904	-57	184140	43956	0	2	0	0	50	0	2696004	8.258430e-02	1
FGFR1	841062	381	47	371034	106218	0	2	0	0	50	4	4164966	8.300139e-02	1
MDM2	541243	228	32	199854	48654	0	2	0	0	50	0	2954178	8.340049e-02	1
PCDHAC2	931701	643	-10	382266	123498	0	4	0	0	50	3	3651750	8.360553e-02	1
C11orf45	NaN	NaN	NaN	56214	16686	0	1	0	0	50	6	6030342	8.396903e-02	1
P2RX6	577297	192	58	172584	49680	0	4	0	0	50	1	3186108	8.420884e-02	1
SCP2	609222	386	23	224694	54918	0	1	0	0	50	1	3814884	8.518549e-02	1
IL1R1	232947	522	20	226584	56916	0	1	0	0	50	0	3276126	8.518964e-02	1
IL18R1	235438	588	7	215190	54378	0	2	0	0	50	1	3561138	8.567740e-02	1
WTIP	707545	355	5	159570	54432	0	1	0	0	50	1	3551796	8.631470e-02	1
SYNRG	559565	201	27	522342	142506	0	2	0	0	50	1	3686094	8.696357e-02	1
PPY	920082	241	29	36396	11880	0	1	0	0	50	2	2648970	8.724715e-02	1
TCL1B	256627	582	30	50544	14418	0	1	0	0	50	1	3273264	8.955439e-02	1
NKX2-5	483508	458	33	134244	45576	0	1	1	0	50	2	3114450	8.967698e-02	1
TTC8	162049	703	-6	207090	53082	0	1	0	0	50	1	3372894	9.088807e-02	1
GPR150	307041	359	32	151470	59940	0	1	0	0	50	0	2871936	9.131403e-02	1
LPP	148376	685	6	233172	70578	0	1	0	0	50	1	3934872	9.221413e-02	1
CRADD	375586	385	13	75492	23004	0	1	0	0	50	0	3726324	9.252864e-02	1
SAMD3	84835	891	27	211086	51192	0	1	0	0	50	1	3289194	9.299877e-02	1
LAMP2	475981	NaN	26	195966	55458	0	1	0	0	50	3	3869100	9.326353e-02	1
TRIM39	2043435	430	32	198882	57888	0	1	0	0	50	0	2894994	9.467560e-02	1
FBXO7	371339	401	3	204876	60804	0	2	0	0	50	0	2896938	9.529457e-02	1
CPNE6	992350	355	19	219078	62478	0	1	0	0	50	0	3227526	9.553153e-02	1
TFEB	458237	251	49	183708	53298	0	1	0	0	50	0	2666520	9.598520e-02	1
ZNF229	725569	528	-49	321948	81432	0	3	0	0	50	5	4321242	9.603779e-02	1
DUSP19	350474	524	20	85320	22572	0	1	0	0	50	0	3461076	9.607461e-02	1
NT5DC1	260580	640	19	183276	45792	0	1	0	0	50	1	2800710	9.651577e-02	1
SLC6A1	154960	444	36	234522	65502	0	2	0	0	50	1	3766014	9.772600e-02	1
ETS1	215125	644	28	203958	51678	0	1	0	0	50	0	2779164	9.853360e-02	1
ZNF784	1077402	254	-10	118422	40014	0	1	0	0	50	2	2584872	9.856261e-02	1
TRIB2	49360	996	-2	130734	37746	0	1	0	0	50	3	2718954	9.955458e-02	1
SLC2A9	222993	916	37	216324	65232	0	2	0	0	50	0	2901204	1.007264e-01	1
C15orf32	288049	578	-30	69930	18360	0	1	0	0	50	2	3821634	1.012444e-01	1
SAMM50	155890	393	24	186894	50598	0	1	0	0	50	1	2894238	1.029028e-01	1
DEFB125	86	430	NaN	59346	17604	0	1	0	0	50	1	2808270	1.030187e-01	1
CSF3	1652518	216	28	79002	24678	0	1	0	0	50	0	3442662	1.033374e-01	1
WDR7	101104	885	38	576612	165510	0	2	0	0	50	0	3246642	1.035732e-01	1
TRNT1	59117	1039	-15	172476	43470	0	2	0	0	50	3	3094200	1.035976e-01	1
UGT3A1	155890	614	-4	211896	59616	0	2	0	0	50	2	3455730	1.041090e-01	1
LGALS1	1136064	180	65	54000	14688	0	1	0	0	50	1	2928960	1.049944e-01	1
EIF2AK1	NaN	NaN	NaN	248724	67014	0	2	0	0	50	6	6080670	1.052192e-01	1
PPM1F	471638	379	52	172908	52758	0	2	0	0	50	2	3163212	1.061800e-01	1
TBPL1	102500	359	6	74844	19926	0	1	0	0	50	0	2800764	1.068763e-01	1
PDP1	319459	423	5	227394	63720	0	1	0	0	50	0	2822634	1.070657e-01	1
NTN5	1597109	242	31	181872	60156	0	1	0	0	50	1	3152250	1.071409e-01	1
TMEM37	203559	497	35	71010	22788	0	1	0	0	50	0	3155760	1.073891e-01	1
TH	837088	579	38	202986	62856	0	1	0	0	50	0	2931876	1.074925e-01	1
NHLRC1	487819	397	-1	144342	48438	0	2	0	0	50	3	2964546	1.076863e-01	1
GAL3ST4	1299015	205	52	178200	59778	0	1	0	0	50	2	3161430	1.080831e-01	1
SLC24A1	501873	240	44	184518	48762	0	1	0	0	50	2	2978802	1.083458e-01	1
ELSPBP1	881809	433	29	92772	19980	0	1	0	0	50	0	3437424	1.086908e-01	1
MEX3A	2005405	213	39	188514	65340	0	2	0	0	50	1	3301938	1.087846e-01	1
SLC9A9	209532	954	7	255636	68040	0	1	0	0	50	0	3038850	1.090057e-01	1
SYTL4	199096	NaN	47	267732	69228	0	2	0	0	50	1	3763368	1.104769e-01	1
NDFIP1	606399	371	40	88722	23706	0	1	0	0	50	0	3326076	1.107089e-01	1
LPCAT1	557296	390	37	206172	62262	0	1	0	0	50	1	3285252	1.107162e-01	1
DRAM1	340236	238	17	93906	26136	0	1	0	0	50	0	3554334	1.114428e-01	1
SLC22A10	1307417	572	17	207144	62100	0	1	0	0	50	2	3224448	1.117820e-01	1
KLHL12	422793	318	28	222642	61020	0	1	0	0	50	1	3121254	1.119645e-01	1
PIK3CG	171312	700	32	425898	116640	0	2	0	0	50	2	3147660	1.126048e-01	1
BTG4	383632	485	15	90450	21654	0	1	0	0	50	1	3830112	1.133283e-01	1
KIAA1310	889428	234	44	335502	105300	0	1	0	0	50	0	4058424	1.144655e-01	1
DNAJC24	83554	879	-19	61290	14202	0	1	0	0	50	3	3207438	1.155679e-01	1
PNPLA5	157623	473	13	165132	49032	0	2	1	0	39	1	2441934	1.162341e-01	1
CAV1	554882	159	0	70362	18252	0	1	0	0	50	0	2669598	1.175619e-01	1
SLC6A18	657890	541	24	240624	72198	0	2	0	0	50	2	3977748	1.182998e-01	1
C21orf45	436753	379	8	92556	24084	0	1	0	0	50	0	3686094	1.183802e-01	1
LY6G6F	2517236	193	20	113940	34452	0	1	0	0	50	0	4166046	1.185738e-01	1
DALRD3	1799657	241	41	205470	66690	0	1	0	0	50	2	3440880	1.194694e-01	1
CLU	346863	361	29	198126	52326	0	2	0	0	50	2	3202632	1.201490e-01	1
EGR1	1202314	205	51	200556	64476	0	1	0	0	50	2	3293406	1.212809e-01	1
KCTD21	551110	208	23	99252	28242	0	1	0	0	50	0	3570264	1.214139e-01	1
AGTRAP	606580	187	36	85914	10800	0	1	0	0	50	0	3493908	1.216867e-01	1
FAM83F	712106	370	28	188082	58320	0	2	0	0	50	2	3228066	1.217597e-01	1
CDC42EP5	NaN	NaN	NaN	52704	20358	0	1	0	0	50	6	6034014	1.220155e-01	1
CLEC2D	251092	648	8	90774	19386	0	1	0	0	50	1	3396762	1.225264e-01	1
MYL7	1151124	282	56	72360	17712	0	1	0	0	50	2	3526146	1.226108e-01	1
HIST1H2AL	228884	634	40	47520	16794	0	1	0	0	50	0	2245590	1.233189e-01	1
ANO10	106227	518	29	261468	67554	0	1	0	0	50	2	3638034	1.233348e-01	1
BMF	884609	226	39	74682	17172	0	1	0	0	50	1	3209760	1.239341e-01	1
C20orf46	442604	527	22	92988	32562	0	1	0	0	50	1	4276908	1.239521e-01	1
GPX5	247624	576	27	90234	20574	0	1	0	0	50	1	3490722	1.241317e-01	1
MMGT1	253719	NaN	20	50598	15498	0	1	0	0	50	2	2744010	1.243872e-01	1
CBLN4	236365	941	-74	75222	24246	0	1	0	0	50	0	2904282	1.254551e-01	1
ZBTB22	1456953	262	30	229986	79272	0	2	0	0	50	1	3177090	1.259692e-01	1
SLC9A4	184297	671	6	309204	86238	0	2	0	0	50	1	3848688	1.273042e-01	1
GGT5	729749	200	28	221130	71766	0	2	1	0	50	1	3031668	1.275516e-01	1
AFM	331900	594	3	243486	57510	0	3	0	0	50	2	3255714	1.280549e-01	1
SPATA3	NaN	NaN	NaN	73224	22518	0	1	0	0	50	6	6036174	1.283037e-01	1
APPL1	427002	389	33	287226	71766	0	1	0	0	50	0	3011094	1.286537e-01	1
THAP1	594393	454	34	87156	18144	0	1	0	0	50	2	3862350	1.290984e-01	1
CDKN1B	791330	136	44	76896	21114	0	1	0	0	50	0	3080916	1.292537e-01	1
SPEF1	860065	241	43	92772	26298	0	1	0	0	50	0	3648726	1.300003e-01	1
TRIM2	222401	350	14	299052	83592	0	2	0	0	50	0	3262410	1.300327e-01	1
NUMB	567659	180	41	249966	73386	0	1	0	0	50	1	3132594	1.307935e-01	1
RPL17	236267	352	55	75384	18738	0	1	0	0	50	0	2571210	1.317372e-01	1
CLDN1	164468	348	3	81000	23976	0	1	0	0	50	1	3229524	1.319875e-01	1
VSTM2A	255140	678	-34	92340	25434	0	1	0	0	50	1	3821526	1.330703e-01	1
KIAA0427	99954	406	51	234144	65070	0	1	0	0	50	1	3077676	1.338211e-01	1
ELOVL3	1041024	187	45	106056	27594	0	1	0	0	50	2	4358664	1.343054e-01	1
PPP1R2	762316	331	42	84186	19170	0	1	0	0	50	1	3217968	1.352600e-01	1
CDC42EP2	3946871	242	49	76734	25812	0	1	0	0	50	1	3145284	1.353566e-01	1
JUP	1760409	175	35	285498	86130	0	1	0	0	50	0	3180006	1.357584e-01	1
RPA2	891090	272	20	108378	28512	0	1	0	0	50	0	3158298	1.358128e-01	1
RABEP2	1189140	257	55	217890	67230	0	1	0	0	50	2	3332880	1.360776e-01	1
PTPRQ	NaN	NaN	NaN	838242	222534	0	4	0	0	50	6	6236190	1.379379e-01	1
SERTAD3	1010633	202	34	73062	23328	0	1	0	0	50	1	2746062	1.384200e-01	1
POMT2	554839	418	37	292302	85644	0	1	0	0	50	1	3560922	1.385595e-01	1
OR12D3	329776	872	7	119340	35046	0	1	0	0	50	0	3328884	1.390526e-01	1
KRTAP1-1	977588	404	10	68796	18036	0	1	0	0	50	0	2165562	1.397395e-01	1
ZMAT4	42867	678	-14	91854	23814	0	1	0	0	50	3	4159350	1.401084e-01	1
TTLL8	895187	271	36	321084	92988	0	2	0	0	50	1	4126194	1.414095e-01	1
NAA11	103025	821	-5	88992	23436	0	1	0	0	50	0	2735856	1.414749e-01	1
TRIM40	1932849	486	48	89910	24462	0	1	0	0	50	1	3076056	1.419217e-01	1
MRPL28	1549307	207	37	99522	28620	0	1	0	0	50	1	3937086	1.425466e-01	1
AGPAT1	2119974	392	28	108108	33804	0	1	0	0	50	0	3606174	1.429133e-01	1
UCHL3	197113	362	37	94500	23274	0	1	0	0	50	1	3117906	1.436855e-01	1
HIST1H3E	390169	544	57	50220	16686	0	1	0	0	50	0	2102760	1.449637e-01	1
CRYBA2	922162	386	35	78030	21114	0	1	0	0	50	0	2820852	1.449667e-01	1
FTH1	2389859	185	53	73278	18090	0	1	0	0	50	2	2952612	1.456173e-01	1
SLC6A16	2237411	309	35	283068	82242	0	2	0	0	50	1	3131082	1.458235e-01	1
OR2K2	348469	501	19	117666	36234	0	1	0	0	50	1	3739230	1.463286e-01	1
RICH2	91679	790	-62	319950	91044	0	1	1	0	50	1	3744576	1.465016e-01	1
CBLL1	513169	515	28	188730	53622	0	1	0	0	50	4	3040038	1.465835e-01	1
CD300LF	NaN	NaN	NaN	113292	32184	0	1	0	0	50	6	6045840	1.468823e-01	1
LPIN3	383021	309	5	328536	97848	0	2	0	0	50	1	3822876	1.474627e-01	1
SLC5A12	52729	921	-8	240354	69552	0	2	0	0	50	4	3671244	1.475408e-01	1
FCGR2A	741254	448	41	125334	33426	0	1	0	0	50	0	3417714	1.475900e-01	1
ZNF572	550341	596	20	211086	47790	0	5	0	0	50	2	2502468	1.479463e-01	1
TMEM86B	1035412	209	5	83754	27864	0	1	0	0	50	0	2608956	1.481044e-01	1
FAM194A	359484	397	30	264492	67284	0	1	0	0	50	3	3634254	1.482614e-01	1
CXXC1	247194	379	68	259416	70902	0	1	0	0	50	1	3286980	1.488325e-01	1
MIP	2793663	184	61	97362	33210	0	1	0	0	50	2	4036662	1.489493e-01	1
JPH4	1250373	553	35	229392	78894	0	1	0	0	50	3	3857814	1.489757e-01	1
TIMP2	681697	157	24	87264	22734	0	1	0	0	50	1	3323808	1.492421e-01	1
CDH18	4731	1195	-17	309312	81594	0	2	0	0	50	2	3770172	1.496772e-01	1
CPT1B	1073094	203	43	305316	82674	0	3	0	0	50	1	3511782	1.497707e-01	1
FCER1A	285980	737	-6	103086	25542	0	1	0	0	50	3	3756348	1.498902e-01	1
BAI1	296361	567	25	602424	186678	0	2	0	0	50	1	3895182	1.506014e-01	1
CLEC4C	206421	467	15	87318	19926	0	1	0	0	50	2	3209112	1.512168e-01	1
TAS2R38	198115	856	-6	125118	37854	0	1	0	0	50	0	3186486	1.514109e-01	1
PRC1	753718	413	31	248400	62478	0	1	0	0	50	3	3474306	1.516492e-01	1
OR5P3	103028	823	-1	115722	35748	0	1	0	0	50	1	3384936	1.517082e-01	1
C1orf186	755856	400	10	69822	17496	0	1	0	0	50	2	2534112	1.533594e-01	1
PPAP2B	39932	563	7	121230	33642	0	1	0	0	50	1	4224204	1.540418e-01	1
DNALI1	445473	274	30	109350	30780	0	1	0	0	50	0	3184704	1.546869e-01	1
GPR56	727305	168	41	268002	80136	0	1	0	0	50	1	2949102	1.549074e-01	1
HSP90AA1	1488666	145	41	337608	85050	0	1	0	0	50	3	4461426	1.550391e-01	1
C1orf112	212980	614	8	340038	89586	0	1	0	0	50	1	3395250	1.551409e-01	1
HMX3	237830	708	23	129870	44604	0	1	0	0	50	3	7143660	1.562961e-01	1
MED10	253175	763	-12	55242	13122	0	1	0	0	50	4	2627586	1.565476e-01	1
CD248	2133752	236	53	275562	93150	0	2	0	0	50	2	3713526	1.572822e-01	1
OR1A1	506514	628	0	115290	35046	0	1	0	0	50	1	3481488	1.583669e-01	1
CXorf41	229024	NaN	26	87426	20952	0	1	0	0	50	3	3203010	1.585830e-01	1
NXNL1	899127	211	26	79272	25218	0	1	0	0	50	0	2746656	1.587159e-01	1
ABHD10	239044	250	10	118314	33804	0	1	0	0	50	0	3200310	1.590845e-01	1
PRDX5	1613996	257	65	81162	26568	0	1	0	0	50	2	3234600	1.590961e-01	1
IRAK3	239871	696	4	237114	60480	0	1	0	0	50	4	3274182	1.599540e-01	1
TMEM8B	847663	227	54	202500	64638	0	1	1	0	50	4	3132972	1.607470e-01	1
CDH12	127633	1075	-20	307044	85806	0	2	0	0	50	1	3120390	1.611031e-01	1
YLPM1	878419	232	43	820638	235764	0	2	0	0	50	0	3699054	1.613633e-01	1
RANBP1	503106	277	64	81810	19602	0	1	0	0	50	1	2620674	1.627167e-01	1
RTBDN	1937827	226	32	99630	31590	0	1	0	0	50	0	3199338	1.627257e-01	1
STX1B	1398193	247	40	117126	29160	0	1	0	0	50	1	3993624	1.628536e-01	1
TMEM19	259684	393	-11	129060	37962	0	1	0	0	50	0	3063852	1.629496e-01	1
OR11L1	87551	993	-35	119664	37314	0	1	0	0	50	2	3676752	1.635456e-01	1
RSBN1L	262077	795	25	326754	89748	0	1	0	0	50	1	3362580	1.637857e-01	1
PHYH	246468	433	33	135702	34560	0	1	0	0	50	0	3603906	1.650249e-01	1
HMGB4	131426	852	9	72468	18738	0	1	0	0	50	4	3190698	1.661496e-01	1
MASP1	401220	445	31	395874	106488	0	1	0	0	50	0	3418200	1.664271e-01	1
UBXN2A	240935	226	33	104868	25380	0	1	0	0	50	1	2747142	1.676378e-01	1
MSH2	793002	406	28	368712	95742	0	1	0	0	50	2	4008528	1.678638e-01	1
SIAH3	820469	632	51	102168	30024	0	1	0	0	50	2	3672594	1.681437e-01	1
MRGPRD	557282	416	51	118260	38070	0	1	0	0	50	1	3668436	1.686194e-01	1
TP63	140525	403	15	289386	76410	0	2	0	0	50	0	2563002	1.690452e-01	1
OR4C16	1141	1100	-37	117666	33156	0	1	0	0	50	1	2988576	1.691559e-01	1
HCN1	80822	1235	-24	338742	99144	0	1	0	0	50	0	3022920	1.706418e-01	1
TECRL	2644	1049	-22	147366	36666	0	1	0	0	50	1	3799008	1.723780e-01	1
PLEKHA5	149622	577	-29	486432	124470	0	3	0	0	50	0	3993894	1.724254e-01	1
H1FNT	809696	412	16	93258	31158	0	1	0	0	50	0	3006288	1.725274e-01	1
KLK8	536101	606	25	120366	31914	0	1	0	0	50	0	3025512	1.728533e-01	1
TARSL2	255024	469	2	322110	80136	0	1	0	0	50	2	3589596	1.730907e-01	1
OR52N4	139577	922	2	120906	36234	0	1	0	0	50	0	2595888	1.738601e-01	1
TMEM177	337284	441	29	113454	38826	0	1	0	0	50	1	3530088	1.740918e-01	1
DDX27	886628	261	50	316224	84402	0	1	0	0	50	2	3651588	1.741814e-01	1
ARHGAP17	272834	185	22	342738	98550	0	1	0	0	50	1	3412692	1.746697e-01	1
ZNF606	1219985	694	-30	315036	74250	0	1	0	0	50	2	3244752	1.749316e-01	1
DKK2	48475	1014	-18	100656	27648	0	1	0	0	50	1	3099222	1.752297e-01	1
TMEM150C	712807	493	17	99306	26730	0	1	0	0	50	1	2564892	1.752450e-01	1
PCDHGA7	NaN	NaN	NaN	349542	110376	0	2	0	0	50	6	6124032	1.756506e-01	1
CD300C	698491	504	10	85374	25920	0	1	0	0	50	2	3004452	1.761103e-01	1
OR13D1	161420	821	-14	130032	38448	0	1	0	0	50	2	3602772	1.770822e-01	1
HIST1H1B	228884	634	40	83754	27216	0	1	0	0	50	0	2245590	1.774083e-01	1
GUSB	434728	365	31	252504	71496	0	1	0	0	50	1	2593782	1.775989e-01	1
SLAMF1	1160206	634	30	130680	36504	0	1	0	0	50	1	3482838	1.779970e-01	1
KCNJ14	1418188	209	41	160650	53028	0	1	0	0	50	0	4941000	1.781621e-01	1
UBASH3A	366755	400	71	259308	71820	0	1	0	0	50	2	2964492	1.789143e-01	1
RXFP2	223402	693	5	302076	76194	0	2	0	0	50	3	3420090	1.792758e-01	1
SPEM1	1906324	206	33	116640	35964	0	1	0	0	50	1	3571128	1.805962e-01	1
IFT81	1034390	181	52	290574	67932	0	2	1	0	50	2	2944404	1.810835e-01	1
SLITRK5	20779	1253	-27	358128	108594	0	2	0	0	50	0	3088476	1.812680e-01	1
CXorf66	66755	NaN	14	139320	38232	0	1	0	0	50	1	3336984	1.815442e-01	1
TMX4	72842	609	-25	138294	36342	0	1	0	0	50	0	3299994	1.832105e-01	1
ERN1	1464674	379	16	381672	107244	0	3	0	0	50	1	3704724	1.842159e-01	1
ARL16	3745109	205	30	75060	24084	0	1	0	0	50	2	2713716	1.858261e-01	1
