Gene	chr	q	residual_q	peak	Type
RNF144B	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
LY86-AS1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
CAGE1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
TUBB2B	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
C6orf52	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
NHLRC1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
PSMG4	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
DKFZP686I15217	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
FLJ23152	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
C6orf201	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
ERVFRD-1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
PPP1R3G	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
MIR548A1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
HULC	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
TMEM170B	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
SCARNA27	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
LOC100130275	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
LOC100130357	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
MIR3691	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
LOC100506207	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
LOC100506409	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
LOC100507194	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
MUTED-TXNDC5	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
EEF1E1-MUTED	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
MIR4639	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
MIR4645	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
C1GALT1	7p22.1	0.0036072	0.0036072	chr7:6870933-7578351	Amp
COL28A1	7p22.1	0.0036072	0.0036072	chr7:6870933-7578351	Amp
LOC100131257	7p22.1	0.0036072	0.0036072	chr7:6870933-7578351	Amp
KRAS	12p12.1	0.010646	0.010646	chr12:25341124-25579335	Amp
CASC1	12p12.1	0.010646	0.010646	chr12:25341124-25579335	Amp
LYRM5	12p12.1	0.010646	0.010646	chr12:25341124-25579335	Amp
hsa-mir-26a-2	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
CDK4	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
CYP27B1	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
METTL1	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
TSPAN31	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
TSFM	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
CTDSP2	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
AVIL	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
METTL21B	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
MARCH9	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
AGAP2	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
MIR26A2	12q14.1	0.016542	0.016542	chr12:58133257-58238999	Amp
hsa-mir-3186	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-1250	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-4316	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-636	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-635	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-548d-2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-634	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-4315-2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-633	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-21	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-301a	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-142	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
AANAT	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ACOX1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ACTG1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
BIRC5	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
APOH	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ARHGDIA	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CA4	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CACNG1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CD7	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CD79B	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CDK3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CLTC	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
COX11	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CSH1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CSH2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CSHL1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CSNK1D	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SLC25A10	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CYB561	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ACE	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
DDX5	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ERN1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
EVPL	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
BPTF	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FASN	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FDXR	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FOXJ1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GAA	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GALK1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GCGR	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GH1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GH2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
UTS2R	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GPS1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GRB2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GRIN2C	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
H3F3B	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
HLF	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ICAM2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ICT1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FOXK2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ITGB4	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
KCNJ2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
KCNJ16	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
KPNA2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LGALS3BP	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LLGL2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LPO	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MAFG	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MAP3K3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MPO	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TRIM37	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NPTX1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
P4HB	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PDE6G	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PECAM1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SEPT4	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PRKAR1A	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PRKCA	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MAP2K6	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PRPSAP1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PSMC5	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PSMD12	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PYCR1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PCYT2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RAC3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RAD51C	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RFNG	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RPL38	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MRPL12	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RPS6KB1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SCN4A	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SEC14L1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SECTM1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SRSF1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SRSF2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SGSH	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SMARCD2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SUMO2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SOX9	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SRP68	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SSTR2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SUPT4H1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TBCD	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TBX2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TIMP2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TK1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TRIM25	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
VEZF1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
COIL	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
AKAP1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
EPX	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
AXIN2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PPM1D	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
DGKE	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CBX4	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
DNAH17	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RGS9	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GALR2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SPHK1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SOCS3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MTMR4	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SLC16A6	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SLC16A5	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SLC16A3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SYNGR2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
HGS	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NOG	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
BZRAP1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CYTH1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SLC9A3R1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
COG1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RECQL5	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PGS1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TBX4	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
AATK	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
KIAA0195	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
EIF4A3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MRC2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
HELZ	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MED13	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TOM1L1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ALYREF	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
DCAF7	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ABCA10	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ABCA9	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ABCA8	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
BAIAP2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ATP5H	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
APPBP2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ST6GALNAC2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GNA13	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SEPT9	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CD300C	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RAB40B	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TLK2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
POLG2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CD300A	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TMC6	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
DDX42	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PPM1E	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ARSG	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
AZI1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GGA3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
JMJD6	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
EXOC7	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ABCA6	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ABCA5	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
KCTD2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MMD	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
WBP2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CDC42EP4	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FSCN2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NOL11	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TANC2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NAT9	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PITPNC1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NARF	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
OR4D1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CACNG5	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CACNG4	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SAP30BP	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NT5C	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CDR2L	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MRPS7	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RNFT1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
HN1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TUBD1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
DCXR	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TACO1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
AMZ2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ANAPC11	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SIRT7	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MRPS23	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PTRH2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SDK2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FAM20A	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
BCAS3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TMEM104	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RNF43	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MKS1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf80	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CCDC40	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
WIPI1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SMG8	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TMEM100	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MSX2P1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NPLOC4	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PRR11	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ST6GALNAC1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TEX2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GPRC5C	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TEX14	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
WDR45L	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CA10	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CCDC47	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CBX8	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIF4GD	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
INTS2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CASKIN2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RPTOR	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
BAHCC1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
USP36	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RNF213	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TNRC6C	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PCTP	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SCPEP1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SLC25A19	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
UBE2O	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
HEATR6	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
DUS1L	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FN3K	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
DNAI2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SMURF2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ENGASE	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MRPL38	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ASPSCR1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CARD14	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MFSD11	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf62	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ARMC7	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CHMP6	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RHBDF2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
DHX40	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FN3KRP	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
