GENE_ID	MUTS	MUTS_RECURRENCE	SAMPLES	P_VALUE	Q_VALUE	P_VALUE_NEG	Q_VALUE_NEG	SNP	MNP	INDELS	SYMBOL
gc19_pc.cds::gencode::NIPAL3::ENSG00000001461.12	1	1	1	0.00919		0.991		1	0	0	gc19_pc.cds::gencode::NIPAL3::ENSG00000001461.12
gc19_pc.cds::gencode::SLC39A10::ENSG00000196950.9	1	1	1	0.00955		0.99083		1	0	0	gc19_pc.cds::gencode::SLC39A10::ENSG00000196950.9
gc19_pc.cds::gencode::FCGR2A::ENSG00000143226.9	1	1	1	0.01144		0.99065		1	0	0	gc19_pc.cds::gencode::FCGR2A::ENSG00000143226.9
gc19_pc.cds::gencode::SMYD1::ENSG00000115593.10	1	1	1	0.0127		0.98755		1	0	0	gc19_pc.cds::gencode::SMYD1::ENSG00000115593.10
gc19_pc.cds::gencode::CLEC14A::ENSG00000176435.6	1	1	1	0.01297		0.98713		1	0	0	gc19_pc.cds::gencode::CLEC14A::ENSG00000176435.6
gc19_pc.cds::gencode::IRAK3::ENSG00000090376.4	1	1	1	0.01364		0.9909		1	0	0	gc19_pc.cds::gencode::IRAK3::ENSG00000090376.4
gc19_pc.cds::gencode::VPS13D::ENSG00000048707.9	2	2	1	0.01405		0.98595		2	0	0	gc19_pc.cds::gencode::VPS13D::ENSG00000048707.9
gc19_pc.cds::gencode::SLC6A18::ENSG00000164363.8	2	2	1	0.01434		0.98566		2	0	0	gc19_pc.cds::gencode::SLC6A18::ENSG00000164363.8
gc19_pc.cds::gencode::IQSEC1::ENSG00000144711.9	1	1	1	0.01485		0.98519		1	0	0	gc19_pc.cds::gencode::IQSEC1::ENSG00000144711.9
gc19_pc.cds::gencode::SLC2A9::ENSG00000109667.7	2	2	2	0.01496	0.50302625	0.98504	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::SLC2A9::ENSG00000109667.7
gc19_pc.cds::gencode::ATP8A1::ENSG00000124406.12	2	2	2	0.01511	0.50302625	0.98489	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::ATP8A1::ENSG00000124406.12
gc19_pc.cds::gencode::FAT4::ENSG00000196159.7	3	3	3	0.01519	0.50302625	0.98481	0.9946972549019608	3	0	0	gc19_pc.cds::gencode::FAT4::ENSG00000196159.7
gc19_pc.cds::gencode::KLHL12::ENSG00000117153.11	1	1	1	0.01535		0.98523		1	0	0	gc19_pc.cds::gencode::KLHL12::ENSG00000117153.11
gc19_pc.cds::gencode::UHRF1BP1::ENSG00000065060.12	2	2	2	0.01555	0.50302625	0.98445	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::UHRF1BP1::ENSG00000065060.12
gc19_pc.cds::gencode::TRIM2::ENSG00000109654.10	2	2	1	0.01578		0.98422		2	0	0	gc19_pc.cds::gencode::TRIM2::ENSG00000109654.10
gc19_pc.cds::gencode::CLNS1A::ENSG00000074201.4	5	5	1	0.01585		0.98415		4	0	1	gc19_pc.cds::gencode::CLNS1A::ENSG00000074201.4
gc19_pc.cds::gencode::CLIC6::ENSG00000159212.8	1	1	1	0.01635		0.98387		1	0	0	gc19_pc.cds::gencode::CLIC6::ENSG00000159212.8
gc19_pc.cds::gencode::CTNNA1::ENSG00000044115.16	1	1	1	0.01645		0.98655		1	0	0	gc19_pc.cds::gencode::CTNNA1::ENSG00000044115.16
gc19_pc.cds::gencode::SERPINB10::ENSG00000242550.1	1	1	1	0.01738		0.98318		1	0	0	gc19_pc.cds::gencode::SERPINB10::ENSG00000242550.1
gc19_pc.cds::gencode::SLC9C1::ENSG00000172139.10	1	1	1	0.01775		0.98516		1	0	0	gc19_pc.cds::gencode::SLC9C1::ENSG00000172139.10
gc19_pc.cds::gencode::HIST1H2AL::ENSG00000198374.3	1	1	1	0.01808		0.99257		1	0	0	gc19_pc.cds::gencode::HIST1H2AL::ENSG00000198374.3
gc19_pc.cds::gencode::FAM71B::ENSG00000170613.4	1	1	1	0.01822		0.98257		1	0	0	gc19_pc.cds::gencode::FAM71B::ENSG00000170613.4
gc19_pc.cds::gencode::TRMT13::ENSG00000122435.5	2	2	2	0.01851	0.50302625	0.9815	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::TRMT13::ENSG00000122435.5
gc19_pc.cds::gencode::MASP1::ENSG00000127241.12	1	1	1	0.01869		0.98267		1	0	0	gc19_pc.cds::gencode::MASP1::ENSG00000127241.12
gc19_pc.cds::gencode::SAMD3::ENSG00000164483.12	1	1	1	0.01931		0.98073		1	0	0	gc19_pc.cds::gencode::SAMD3::ENSG00000164483.12
gc19_pc.cds::gencode::SERPINA12::ENSG00000165953.5	1	1	1	0.01948		0.9806		1	0	0	gc19_pc.cds::gencode::SERPINA12::ENSG00000165953.5
gc19_pc.cds::gencode::MAP6::ENSG00000171533.7	1	1	1	0.01964		0.9809		1	0	0	gc19_pc.cds::gencode::MAP6::ENSG00000171533.7
gc19_pc.cds::gencode::STK24::ENSG00000102572.10	2	2	2	0.01981	0.50302625	0.98019	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::STK24::ENSG00000102572.10
gc19_pc.cds::gencode::MDM2::ENSG00000135679.17	2	2	1	0.0204		0.9796		2	0	0	gc19_pc.cds::gencode::MDM2::ENSG00000135679.17
gc19_pc.cds::gencode::STK11::ENSG00000118046.10	1	1	1	0.02339		0.97919		1	0	0	gc19_pc.cds::gencode::STK11::ENSG00000118046.10
gc19_pc.cds::gencode::PRDM8::ENSG00000152784.11	1	1	1	0.02342		0.97695		1	0	0	gc19_pc.cds::gencode::PRDM8::ENSG00000152784.11
gc19_pc.cds::gencode::KRT85::ENSG00000135443.4	1	1	1	0.0235		0.98018		1	0	0	gc19_pc.cds::gencode::KRT85::ENSG00000135443.4
gc19_pc.cds::gencode::POM121L2::ENSG00000158553.3	1	1	1	0.02406		0.97604		1	0	0	gc19_pc.cds::gencode::POM121L2::ENSG00000158553.3
gc19_pc.cds::gencode::OR2M3::ENSG00000228198.1	1	1	1	0.02424		0.97596		1	0	0	gc19_pc.cds::gencode::OR2M3::ENSG00000228198.1
gc19_pc.cds::gencode::SERPINB2::ENSG00000197632.4	1	1	1	0.02496		0.97565		1	0	0	gc19_pc.cds::gencode::SERPINB2::ENSG00000197632.4
gc19_pc.cds::gencode::RNF180::ENSG00000164197.7	1	1	1	0.02566		0.97567		1	0	0	gc19_pc.cds::gencode::RNF180::ENSG00000164197.7
gc19_pc.cds::gencode::PDP1::ENSG00000164951.11	1	1	1	0.02651		0.9736		1	0	0	gc19_pc.cds::gencode::PDP1::ENSG00000164951.11
gc19_pc.cds::gencode::KLC4::ENSG00000137171.10	1	1	1	0.02677		0.97653		1	0	0	gc19_pc.cds::gencode::KLC4::ENSG00000137171.10
gc19_pc.cds::gencode::ADCY2::ENSG00000078295.11	1	1	1	0.02723		0.97293		1	0	0	gc19_pc.cds::gencode::ADCY2::ENSG00000078295.11
gc19_pc.cds::gencode::ZNF621::ENSG00000172888.7	1	1	1	0.02784		0.97253		1	0	0	gc19_pc.cds::gencode::ZNF621::ENSG00000172888.7
gc19_pc.cds::gencode::IL1R1::ENSG00000115594.7	1	1	1	0.028		0.97208		1	0	0	gc19_pc.cds::gencode::IL1R1::ENSG00000115594.7
gc19_pc.cds::gencode::RAN::ENSG00000132341.7	1	1	1	0.0282		0.972		1	0	0	gc19_pc.cds::gencode::RAN::ENSG00000132341.7
gc19_pc.cds::gencode::TRIB2::ENSG00000071575.7	1	1	1	0.02869		0.97137		0	0	1	gc19_pc.cds::gencode::TRIB2::ENSG00000071575.7
gc19_pc.cds::gencode::TAS2R38::ENSG00000257138.1	1	1	1	0.02894		0.97145		1	0	0	gc19_pc.cds::gencode::TAS2R38::ENSG00000257138.1
gc19_pc.cds::gencode::TP63::ENSG00000073282.8	2	2	2	0.0294	0.50302625	0.97061	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::TP63::ENSG00000073282.8
gc19_pc.cds::gencode::TMEM44::ENSG00000145014.13	2	2	2	0.02946	0.50302625	0.97054	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::TMEM44::ENSG00000145014.13
gc19_pc.cds::gencode::CYB561::ENSG00000008283.11	2	2	1	0.02946		0.97054		2	0	0	gc19_pc.cds::gencode::CYB561::ENSG00000008283.11
gc19_pc.cds::gencode::CPZ::ENSG00000109625.14	1	1	1	0.03003		0.9715		1	0	0	gc19_pc.cds::gencode::CPZ::ENSG00000109625.14
gc19_pc.cds::gencode::DMRTB1::ENSG00000143006.7	1	1	1	0.03045		0.9731		1	0	0	gc19_pc.cds::gencode::DMRTB1::ENSG00000143006.7
gc19_pc.cds::gencode::SFPQ::ENSG00000116560.6	2	2	2	0.03071	0.50302625	0.96929	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::SFPQ::ENSG00000116560.6
gc19_pc.cds::gencode::RICTOR::ENSG00000164327.8	5	5	1	0.03122		0.96878		4	0	1	gc19_pc.cds::gencode::RICTOR::ENSG00000164327.8
gc19_pc.cds::gencode::VPS41::ENSG00000006715.11	1	1	1	0.03253		0.9679		1	0	0	gc19_pc.cds::gencode::VPS41::ENSG00000006715.11
gc19_pc.cds::gencode::NOS1::ENSG00000089250.14	2	2	2	0.03279	0.50302625	0.96721	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::NOS1::ENSG00000089250.14
gc19_pc.cds::gencode::USH2A::ENSG00000042781.8	2	2	2	0.03279	0.50302625	0.96721	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::USH2A::ENSG00000042781.8
gc19_pc.cds::gencode::DEAF1::ENSG00000177030.12	1	1	1	0.03458		0.9663		1	0	0	gc19_pc.cds::gencode::DEAF1::ENSG00000177030.12
gc19_pc.cds::gencode::PRC1::ENSG00000198901.9	1	1	1	0.03569		0.96459		1	0	0	gc19_pc.cds::gencode::PRC1::ENSG00000198901.9
gc19_pc.cds::gencode::SCN10A::ENSG00000185313.6	4	4	4	0.0357	0.50302625	0.9643	0.9946972549019608	4	0	0	gc19_pc.cds::gencode::SCN10A::ENSG00000185313.6
gc19_pc.cds::gencode::C1orf112::ENSG00000000460.12	1	1	1	0.03593		0.96459		1	0	0	gc19_pc.cds::gencode::C1orf112::ENSG00000000460.12
gc19_pc.cds::gencode::FRAS1::ENSG00000138759.13	1	1	1	0.03774		0.96249		1	0	0	gc19_pc.cds::gencode::FRAS1::ENSG00000138759.13
gc19_pc.cds::gencode::MUC22::ENSG00000261272.1	2	2	2	0.0378	0.50302625	0.9622	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::MUC22::ENSG00000261272.1
gc19_pc.cds::gencode::APPL1::ENSG00000157500.6	1	1	1	0.03827		0.96179		1	0	0	gc19_pc.cds::gencode::APPL1::ENSG00000157500.6
gc19_pc.cds::gencode::FBN1::ENSG00000166147.9	2	2	2	0.03907	0.50302625	0.96093	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::FBN1::ENSG00000166147.9
gc19_pc.cds::gencode::RASGRF2::ENSG00000113319.7	1	1	1	0.03908		0.96115		1	0	0	gc19_pc.cds::gencode::RASGRF2::ENSG00000113319.7
gc19_pc.cds::gencode::C3::ENSG00000125730.12	1	1	1	0.0394		0.96066		1	0	0	gc19_pc.cds::gencode::C3::ENSG00000125730.12
gc19_pc.cds::gencode::RNF39::ENSG00000204618.4	1	1	1	0.03956		0.96119		1	0	0	gc19_pc.cds::gencode::RNF39::ENSG00000204618.4
gc19_pc.cds::gencode::FYB::ENSG00000082074.11	1	1	1	0.04016		0.96031		1	0	0	gc19_pc.cds::gencode::FYB::ENSG00000082074.11
gc19_pc.cds::gencode::EIF2AK1::ENSG00000086232.8	2	2	1	0.04024		0.95976		2	0	0	gc19_pc.cds::gencode::EIF2AK1::ENSG00000086232.8
gc19_pc.cds::gencode::SLC9A9::ENSG00000181804.10	1	1	1	0.04153		0.95855		1	0	0	gc19_pc.cds::gencode::SLC9A9::ENSG00000181804.10
gc19_pc.cds::gencode::VWA3A::ENSG00000175267.10	1	1	1	0.04158		0.95889		1	0	0	gc19_pc.cds::gencode::VWA3A::ENSG00000175267.10
gc19_pc.cds::gencode::C8orf34::ENSG00000165084.11	1	1	1	0.04222		0.95883		0	1	0	gc19_pc.cds::gencode::C8orf34::ENSG00000165084.11
gc19_pc.cds::gencode::HTR1B::ENSG00000135312.4	1	1	1	0.04379		0.9574		1	0	0	gc19_pc.cds::gencode::HTR1B::ENSG00000135312.4
gc19_pc.cds::gencode::LRTOMT::ENSG00000184154.8	1	1	1	0.04428		0.95622		1	0	0	gc19_pc.cds::gencode::LRTOMT::ENSG00000184154.8
gc19_pc.cds::gencode::MCC::ENSG00000171444.13	1	1	1	0.04527		0.95611		1	0	0	gc19_pc.cds::gencode::MCC::ENSG00000171444.13
gc19_pc.cds::gencode::KMT2B::ENSG00000272333.1	2	2	2	0.04716	0.5567618181818182	0.95284	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::KMT2B::ENSG00000272333.1
gc19_pc.cds::gencode::TSC2::ENSG00000103197.12	1	1	1	0.04748		0.95255		1	0	0	gc19_pc.cds::gencode::TSC2::ENSG00000103197.12
gc19_pc.cds::gencode::SSH3::ENSG00000172830.8	4	4	1	0.04791		0.95209		4	0	0	gc19_pc.cds::gencode::SSH3::ENSG00000172830.8
gc19_pc.cds::gencode::PTCHD4::ENSG00000244694.3	1	1	1	0.04791		0.95306		1	0	0	gc19_pc.cds::gencode::PTCHD4::ENSG00000244694.3
gc19_pc.cds::gencode::RSBN1L::ENSG00000187257.10	1	1	1	0.04804		0.95198		1	0	0	gc19_pc.cds::gencode::RSBN1L::ENSG00000187257.10
gc19_pc.cds::gencode::MTHFSD::ENSG00000103248.13	1	1	1	0.04838		0.95503		1	0	0	gc19_pc.cds::gencode::MTHFSD::ENSG00000103248.13
gc19_pc.cds::gencode::BMF::ENSG00000104081.9	1	1	1	0.049		0.95375		1	0	0	gc19_pc.cds::gencode::BMF::ENSG00000104081.9
gc19_pc.cds::gencode::LGR6::ENSG00000133067.13	1	1	1	0.04904		0.95139		1	0	0	gc19_pc.cds::gencode::LGR6::ENSG00000133067.13
gc19_pc.cds::gencode::TMEM132C::ENSG00000181234.8	2	2	2	0.04998	0.5567618181818182	0.95002	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::TMEM132C::ENSG00000181234.8
gc19_pc.cds::gencode::FITM2::ENSG00000197296.5	1	1	1	0.05093		0.95004		1	0	0	gc19_pc.cds::gencode::FITM2::ENSG00000197296.5
gc19_pc.cds::gencode::PDE2A::ENSG00000186642.11	1	1	1	0.05166		0.94949		1	0	0	gc19_pc.cds::gencode::PDE2A::ENSG00000186642.11
gc19_pc.cds::gencode::WDFY1::ENSG00000085449.10	1	1	1	0.0522		0.9485		1	0	0	gc19_pc.cds::gencode::WDFY1::ENSG00000085449.10
gc19_pc.cds::gencode::FAM43A::ENSG00000185112.4	1	1	1	0.05335		0.94946		1	0	0	gc19_pc.cds::gencode::FAM43A::ENSG00000185112.4
gc19_pc.cds::gencode::XK::ENSG00000047597.5	1	1	1	0.05341		0.9469		1	0	0	gc19_pc.cds::gencode::XK::ENSG00000047597.5
gc19_pc.cds::gencode::ALDH16A1::ENSG00000161618.5	1	1	1	0.05494		0.94566		1	0	0	gc19_pc.cds::gencode::ALDH16A1::ENSG00000161618.5
gc19_pc.cds::gencode::NLRP13::ENSG00000173572.7	1	1	1	0.05567		0.94441		1	0	0	gc19_pc.cds::gencode::NLRP13::ENSG00000173572.7
gc19_pc.cds::gencode::LST3::ENSG00000257046.1	1	1	1	0.05614		0.94421		1	0	0	gc19_pc.cds::gencode::LST3::ENSG00000257046.1
gc19_pc.cds::gencode::CLEC2D::ENSG00000069493.10	1	1	1	0.05637		0.94378		1	0	0	gc19_pc.cds::gencode::CLEC2D::ENSG00000069493.10
gc19_pc.cds::gencode::DKK2::ENSG00000155011.4	1	1	1	0.05664		0.95124		1	0	0	gc19_pc.cds::gencode::DKK2::ENSG00000155011.4
gc19_pc.cds::gencode::AKAP13::ENSG00000170776.15	3	3	3	0.05691	0.5567618181818182	0.94309	0.9946972549019608	3	0	0	gc19_pc.cds::gencode::AKAP13::ENSG00000170776.15
gc19_pc.cds::gencode::TARSL2::ENSG00000185418.11	1	1	1	0.05721		0.94301		0	0	1	gc19_pc.cds::gencode::TARSL2::ENSG00000185418.11
gc19_pc.cds::gencode::NEFH::ENSG00000100285.9	1	1	1	0.05798		0.94339		1	0	0	gc19_pc.cds::gencode::NEFH::ENSG00000100285.9
gc19_pc.cds::gencode::ZNF518B::ENSG00000178163.3	1	1	1	0.05816		0.94218		1	0	0	gc19_pc.cds::gencode::ZNF518B::ENSG00000178163.3
gc19_pc.cds::gencode::PTK7::ENSG00000112655.11	2	2	2	0.05821	0.5567618181818182	0.94179	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::PTK7::ENSG00000112655.11
gc19_pc.cds::gencode::DRAM1::ENSG00000136048.9	1	1	1	0.05825		0.9421		1	0	0	gc19_pc.cds::gencode::DRAM1::ENSG00000136048.9
gc19_pc.cds::gencode::BRAF::ENSG00000157764.8	6	1	6	0.05859	0.5567618181818182	0.94141	0.9946972549019608	6	0	0	gc19_pc.cds::gencode::BRAF::ENSG00000157764.8
gc19_pc.cds::gencode::LMTK2::ENSG00000164715.5	1	1	1	0.05867		0.94169		1	0	0	gc19_pc.cds::gencode::LMTK2::ENSG00000164715.5
gc19_pc.cds::gencode::CDH6::ENSG00000113361.8	1	1	1	0.05888		0.94184		1	0	0	gc19_pc.cds::gencode::CDH6::ENSG00000113361.8
gc19_pc.cds::gencode::ABCB1::ENSG00000085563.10	2	2	2	0.05946	0.5567618181818182	0.94054	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::ABCB1::ENSG00000085563.10
gc19_pc.cds::gencode::LINGO4::ENSG00000213171.2	1	1	1	0.05956		0.94294		1	0	0	gc19_pc.cds::gencode::LINGO4::ENSG00000213171.2
gc19_pc.cds::gencode::WRN::ENSG00000165392.5	1	1	1	0.05969		0.94049		1	0	0	gc19_pc.cds::gencode::WRN::ENSG00000165392.5
gc19_pc.cds::gencode::GNA15::ENSG00000060558.3	1	1	1	0.0597		0.94496		1	0	0	gc19_pc.cds::gencode::GNA15::ENSG00000060558.3
gc19_pc.cds::gencode::OR51L1::ENSG00000176798.1	1	1	1	0.06028		0.94033		1	0	0	gc19_pc.cds::gencode::OR51L1::ENSG00000176798.1
gc19_pc.cds::gencode::SHH::ENSG00000164690.3	1	1	1	0.0604		0.9397		1	0	0	gc19_pc.cds::gencode::SHH::ENSG00000164690.3
gc19_pc.cds::gencode::GKAP1::ENSG00000165113.8	1	1	1	0.06139		0.93908		1	0	0	gc19_pc.cds::gencode::GKAP1::ENSG00000165113.8
gc19_pc.cds::gencode::APAF1::ENSG00000120868.9	1	1	1	0.06141		0.93884		1	0	0	gc19_pc.cds::gencode::APAF1::ENSG00000120868.9
gc19_pc.cds::gencode::SLCO1B3::ENSG00000111700.8	1	1	1	0.06201		0.93843		1	0	0	gc19_pc.cds::gencode::SLCO1B3::ENSG00000111700.8
gc19_pc.cds::gencode::SKIDA1::ENSG00000180592.12	1	1	1	0.06204		0.93805		1	0	0	gc19_pc.cds::gencode::SKIDA1::ENSG00000180592.12
gc19_pc.cds::gencode::GLUL::ENSG00000135821.12	1	1	1	0.06284		0.93868		1	0	0	gc19_pc.cds::gencode::GLUL::ENSG00000135821.12
gc19_pc.cds::gencode::SHB::ENSG00000107338.8	1	1	1	0.06301		0.93975		1	0	0	gc19_pc.cds::gencode::SHB::ENSG00000107338.8
gc19_pc.cds::gencode::CELSR2::ENSG00000143126.7	2	2	2	0.06322	0.5662313043478261	0.93678	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::CELSR2::ENSG00000143126.7
gc19_pc.cds::gencode::NLE1::ENSG00000073536.13	1	1	1	0.06468		0.93815		1	0	0	gc19_pc.cds::gencode::NLE1::ENSG00000073536.13
gc19_pc.cds::gencode::MED10::ENSG00000133398.3	1	1	1	0.06472		0.93936		1	0	0	gc19_pc.cds::gencode::MED10::ENSG00000133398.3
gc19_pc.cds::gencode::MRI1::ENSG00000037757.9	1	1	1	0.06544		0.93471		1	0	0	gc19_pc.cds::gencode::MRI1::ENSG00000037757.9
gc19_pc.cds::gencode::KMT2C::ENSG00000055609.13	2	2	2	0.06597	0.5662425	0.93403	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::KMT2C::ENSG00000055609.13
gc19_pc.cds::gencode::PCSK2::ENSG00000125851.5	1	1	1	0.06597		0.93751		1	0	0	gc19_pc.cds::gencode::PCSK2::ENSG00000125851.5
gc19_pc.cds::gencode::C4orf50::ENSG00000181215.8	1	1	1	0.06646		0.93361		1	0	0	gc19_pc.cds::gencode::C4orf50::ENSG00000181215.8
gc19_pc.cds::gencode::CSF3::ENSG00000108342.8	1	1	1	0.06658		0.93601		1	0	0	gc19_pc.cds::gencode::CSF3::ENSG00000108342.8
gc19_pc.cds::gencode::ZBTB7A::ENSG00000178951.4	1	1	1	0.0671		0.93295		0	1	0	gc19_pc.cds::gencode::ZBTB7A::ENSG00000178951.4
gc19_pc.cds::gencode::TCP11L2::ENSG00000166046.6	1	1	1	0.06794		0.93224		1	0	0	gc19_pc.cds::gencode::TCP11L2::ENSG00000166046.6
gc19_pc.cds::gencode::ARMC8::ENSG00000114098.13	1	1	1	0.06849		0.93161		1	0	0	gc19_pc.cds::gencode::ARMC8::ENSG00000114098.13
gc19_pc.cds::gencode::ECE2::ENSG00000145194.13	1	1	1	0.06957		0.93095		1	0	0	gc19_pc.cds::gencode::ECE2::ENSG00000145194.13
gc19_pc.cds::gencode::TGFBR2::ENSG00000163513.13	1	1	1	0.07018		0.93008		1	0	0	gc19_pc.cds::gencode::TGFBR2::ENSG00000163513.13
gc19_pc.cds::gencode::ZNF366::ENSG00000178175.7	1	1	1	0.07053		0.92951		1	0	0	gc19_pc.cds::gencode::ZNF366::ENSG00000178175.7
gc19_pc.cds::gencode::TRAK2::ENSG00000115993.7	1	1	1	0.07093		0.92952		1	0	0	gc19_pc.cds::gencode::TRAK2::ENSG00000115993.7
gc19_pc.cds::gencode::COL14A1::ENSG00000187955.7	1	1	1	0.07124		0.92905		1	0	0	gc19_pc.cds::gencode::COL14A1::ENSG00000187955.7
gc19_pc.cds::gencode::C22orf29::ENSG00000215012.4	1	1	1	0.0718		0.93458		1	0	0	gc19_pc.cds::gencode::C22orf29::ENSG00000215012.4
gc19_pc.cds::gencode::DAAM2::ENSG00000146122.12	1	1	1	0.07232		0.92782		1	0	0	gc19_pc.cds::gencode::DAAM2::ENSG00000146122.12
gc19_pc.cds::gencode::PTPRJ::ENSG00000149177.8	1	1	1	0.07315		0.92687		1	0	0	gc19_pc.cds::gencode::PTPRJ::ENSG00000149177.8
gc19_pc.cds::gencode::FANCG::ENSG00000221829.5	1	1	1	0.07349		0.92974		1	0	0	gc19_pc.cds::gencode::FANCG::ENSG00000221829.5
gc19_pc.cds::gencode::NCDN::ENSG00000020129.11	1	1	1	0.07364		0.92697		1	0	0	gc19_pc.cds::gencode::NCDN::ENSG00000020129.11
gc19_pc.cds::gencode::SLC4A11::ENSG00000088836.8	1	1	1	0.07369		0.92642		1	0	0	gc19_pc.cds::gencode::SLC4A11::ENSG00000088836.8
gc19_pc.cds::gencode::FBXO3::ENSG00000110429.9	1	1	1	0.07522		0.92595		1	0	0	gc19_pc.cds::gencode::FBXO3::ENSG00000110429.9
gc19_pc.cds::gencode::ZNRF3::ENSG00000183579.11	1	1	1	0.07537		0.92468		1	0	0	gc19_pc.cds::gencode::ZNRF3::ENSG00000183579.11
gc19_pc.cds::gencode::INF2::ENSG00000203485.8	2	2	2	0.0757	0.5879828571428573	0.9243	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::INF2::ENSG00000203485.8
gc19_pc.cds::gencode::CACNA2D2::ENSG00000007402.7	1	1	1	0.07587		0.9243		1	0	0	gc19_pc.cds::gencode::CACNA2D2::ENSG00000007402.7
gc19_pc.cds::gencode::TGFBI::ENSG00000120708.12	1	1	1	0.07596		0.92407		1	0	0	gc19_pc.cds::gencode::TGFBI::ENSG00000120708.12
gc19_pc.cds::gencode::SPG7::ENSG00000197912.9	1	1	1	0.07632		0.92371		1	0	0	gc19_pc.cds::gencode::SPG7::ENSG00000197912.9
gc19_pc.cds::gencode::PTPRS::ENSG00000105426.10	2	2	2	0.07637	0.5879828571428573	0.92364	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::PTPRS::ENSG00000105426.10
gc19_pc.cds::gencode::SYNRG::ENSG00000006114.11	2	2	2	0.07725	0.5879828571428573	0.92275	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::SYNRG::ENSG00000006114.11
gc19_pc.cds::gencode::NTN5::ENSG00000142233.7	1	1	1	0.07808		0.92528		1	0	0	gc19_pc.cds::gencode::NTN5::ENSG00000142233.7
gc19_pc.cds::gencode::FRMPD2::ENSG00000170324.15	2	2	1	0.07813		0.92187		2	0	0	gc19_pc.cds::gencode::FRMPD2::ENSG00000170324.15
gc19_pc.cds::gencode::TTLL3::ENSG00000214021.11	2	2	2	0.07992	0.5879828571428573	0.92008	0.9946972549019608	2	0	0	gc19_pc.cds::gencode::TTLL3::ENSG00000214021.11
gc19_pc.cds::gencode::TNN::ENSG00000120332.11	1	1	1	0.08095		0.9191		1	0	0	gc19_pc.cds::gencode::TNN::ENSG00000120332.11
gc19_pc.cds::gencode::LMTK3::ENSG00000142235.4	1	1	1	0.08203		0.91798		1	0	0	gc19_pc.cds::gencode::LMTK3::ENSG00000142235.4
