Gene	TUSON_p_value_TSG	TUSON_q_value_TSG	TSG_Probability_LASSO	Chromosome
ZC3H18	1.97E-06	0.000418209	0.976463305	16
CEBPA	2.59E-06	0.000543869	0.803650795	19
DDX3X	2.63E-06	0.000545064	0.784335969	X
MYO6	2.85E-06	0.00058553	0.939673043	6
ZNF318	3.54E-06	0.00071785	0.875348361	6
MBD6	3.87E-06	0.000776882	0.926017681	12
COL4A2	3.94E-06	0.000783449	0.758245256	13
TRIP12	4.64E-06	0.000910673	0.890771581	2
KMT2B	4.68E-06	0.000910673	0.786798143	19
CCAR1	6.39E-06	0.001230053	0.958335257	10
NAA25	7.19E-06	0.001369491	0.907436318	12
MLLT4	7.78E-06	0.001468573	0.784668377	6
PHF6	1.15E-05	0.002148163	0.687107478	X
TCF12	1.18E-05	0.002178801	0.929031241	15
KMT2A	1.19E-05	0.002178801	0.638710005	11
DNER	1.39E-05	0.00251692	0.790306239	2
MGA	1.52E-05	0.002733573	0.927772116	15
CYLD	1.54E-05	0.002747536	0.914887658	16
TMCO2	1.93E-05	0.003403985	0.909498199	1
HS6ST1	2.49E-05	0.004304063	0.538346677	2
GIGYF2	2.49E-05	0.004304063	0.769878957	2
TP53BP1	2.53E-05	0.004304063	0.828868692	15
CCDC88A	2.53E-05	0.004304063	0.84725357	2
EIF2AK3	2.87E-05	0.004824458	0.446943901	2
USP9X	3.48E-05	0.005808763	0.85880636	X
GSE1	4.12E-05	0.006814916	0.908939548	16
JMJD1C	4.33E-05	0.007090965	0.43130175	10
CBFB	4.68E-05	0.007601946	0.867773915	16
FANCM	4.76E-05	0.00765933	0.588625802	14
IWS1	4.98E-05	0.007951745	0.936817201	2
FOXA1	5.39E-05	0.008536741	0.625659083	14
ZNF292	6.08E-05	0.00954303	0.77067536	6
ZNRF3	6.13E-05	0.009547731	0.905468824	22
BRCA1	6.27E-05	0.009679157	0.790358464	17
TCF7L2	6.46E-05	0.00983752	0.93454222	10
CHD2	6.48E-05	0.00983752	0.850802658	15
SOX9	6.53E-05	0.00983752	0.798961186	17
WDR33	6.93E-05	0.010362261	0.883363392	2
EMG1	7.05E-05	0.010458501	0.892802957	12
MTFR1L	7.30E-05	0.010740094	0.964320503	1
TRAF3	8.53E-05	0.012445592	0.90129325	14
AMER1	8.85E-05	0.01277051	0.77024094	X
SIN3A	8.95E-05	0.01277051	0.778596911	15
SOX21	8.96E-05	0.01277051	0.562882916	13
CCDC144NL	9.66E-05	0.01367472	0.928621439	17
LUC7L3	0.00010003	0.01404855	0.876415039	17
RPL5	0.000103513	0.014429267	0.943353196	1
AMBRA1	0.000108233	0.014975411	0.786739291	11
CSNK2A1	0.00010946	0.015033876	0.772698924	20
ZMYM4	0.000111686	0.015227643	0.890145164	1
AXIN1	0.000115029	0.015536495	0.620988622	16
FAS	0.000115615	0.015536495	0.868311268	10
INPPL1	0.000120068	0.016019584	0.769100459	11
EPHA2	0.000121516	0.01609789	0.850820618	1
HERC1	0.000128312	0.016878514	0.690826838	15
DACH1	0.000138146	0.018044925	0.664909946	13
PTCH1	0.000141167	0.018311561	0.844911324	9
CNOT3	0.000143589	0.018409873	0.606182886	19
CTDNEP1	0.000143896	0.018409873	0.92483217	17
EXO5	0.000153301	0.019479687	0.769158352	1
ATAD2	0.000164007	0.020699199	0.346047418	8
RGS12	0.000165805	0.020785675	0.365639507	4
SPRED1	0.000170767	0.021265081	0.870196769	15
PLAC4	0.00017294	0.021392105	0.95833303	21
AMOT	0.000174078	0.021392105	0.906597624	X
ARHGAP5	0.000191283	0.023352744	0.697538319	14
DENND6A	0.000193001	0.023409472	0.855727341	3
RUFY2	0.000197881	0.02384659	0.851408766	10
ZMYM3	0.000208513	0.024966818	0.49071102	X
MED23	0.00021331	0.025378478	0.874495549	6
ASXL2	0.0002411	0.028503247	0.776761806	2
RAD21	0.000252903	0.029710498	0.287650284	8
GGCT	0.000270979	0.031635053	0.85292944	7
HNF1A	0.0002938	0.034086291	0.96022838	12
LIMCH1	0.00030511	0.035179911	0.941986925	4
CTNND1	0.000319297	0.036589866	0.801251487	11
RBM26	0.000322936	0.036781255	0.709248726	13
HDAC2	0.000326142	0.036921302	0.946242413	6
MBD1	0.000338355	0.03807308	0.833888652	18
STX7	0.000341212	0.03809365	0.825696988	6
THUMPD3	0.000342616	0.03809365	0.812123366	3
CPEB2	0.000353253	0.039043819	0.74947791	4
MYO1B	0.000365919	0.040205855	0.780064556	2
PHACTR4	0.000369986	0.040360971	0.912538437	1
HMCN1	0.000371652	0.040360971	0.299578596	1
TBC1D10C	0.000382988	0.04132532	0.676323363	11
BRCA2	0.000384957	0.04132532	0.774253001	13
NUP98	0.000404371	0.043161428	0.512032879	11
SPATA6	0.000409049	0.043412608	0.730135989	1
AFF4	0.000423474	0.044689643	0.224104711	5
IDH2	0.000433791	0.045521226	0.394360686	15
EPB41L4A	0.000440636	0.045981257	0.24463808	5
ANKRD46	0.000446616	0.046346359	0.646185816	8
ANO3	0.000449606	0.046398815	0.590612634	11
RBBP6	0.000466431	0.04762657	0.80826134	16
NEK9	0.000466602	0.04762657	0.724323484	14
SMARCA1	0.000471112	0.047803094	0.52011947	X
BAX	0.00047345	0.047803094	0.86196214	19
PNISR	0.000496479	0.049858745	0.910887477	6
WAC	0.00050496	0.050439316	0.867223052	10
C2CD5	0.000513676	0.050777356	0.499714318	12
INO80	0.000513781	0.050777356	0.780260251	15
CUL3	0.000518198	0.05094435	0.856454189	2
RIMS2	0.000528179	0.051653697	0.26617415	8
PSIP1	0.000557158	0.054203912	0.769570785	9
DUSP16	0.000564344	0.054618547	0.786831261	12
UPF3B	0.000570645	0.054943674	0.927234332	X
ATG5	0.00057613	0.055187364	0.771711269	6
SFPQ	0.000591507	0.055997307	0.630463843	1
SEC22A	0.000591744	0.055997307	0.712667451	3
CSDE1	0.000593579	0.055997307	0.728473948	1
PRRC2C	0.000598462	0.056174271	0.57925873	1
HLA-DRB1	0.000611922	0.05715047	0.902096953	6
SESTD1	0.000618626	0.057489135	0.655179811	2
CD58	0.000635597	0.058773849	0.959600008	1
ZNF319	0.000655142	0.060282781	0.857631107	16
PTPRK	0.000660423	0.06047079	0.8938272	6
CHD3	0.000683064	0.062238825	0.546993329	17
RPL18	0.000692208	0.062765749	0.935461305	19
PPM1D	0.000724228	0.065351913	0.821438139	17
BRE	0.000732854	0.065812433	0.841870889	2
SPCS1	0.000736976	0.06586595	0.817126793	3
SPSB2	0.000743946	0.066172249	0.851749269	12
TMPO	0.000756303	0.066952493	0.802836473	12
ZNF750	0.000768566	0.067399302	0.663548641	17
TMEM30A	0.000772369	0.067416287	0.946749515	6
SPRED2	0.000778243	0.067612988	0.657058615	2
RXRB	0.000784135	0.06780951	0.663707957	6
BRWD3	0.00079674	0.068582044	0.442228925	X
PCDH7	0.000810341	0.069432825	0.626465837	4
ZBTB18	0.000819188	0.069870381	0.720160263	1
DEPDC5	0.000831315	0.070582449	0.679129882	22
BTBD7	0.000857322	0.072461149	0.366211568	14
BCL10	0.000861405	0.072478301	0.914968325	1
GNPTAB	0.000867598	0.072672052	0.840763256	12
PLEKHM3	0.000891073	0.074305186	0.848467927	2
TAOK1	0.000895801	0.074367368	0.726652759	17
DIP2C	0.000907683	0.075020364	0.588474235	10
NFATC4	0.000920633	0.075386121	0.582245289	14
ADAMTS19	0.000922008	0.075386121	0.603680835	5
TTC18	0.000924216	0.075386121	0.919228415	10
CERK	0.000939768	0.076321388	0.878584352	22
IFNGR2	0.000983035	0.079489686	0.48197153	21
SRSF11	0.001013767	0.081621327	0.870953342	1
MKRN1	0.001021094	0.081858438	0.774105125	7
TYRP1	0.001036372	0.082728187	0.77681471	9
VPS13A	0.001132905	0.090049109	0.630483136	9
PRKRA	0.001147256	0.090803389	0.941519496	2
NCOR2	0.00118003	0.09300326	0.728257853	12
DAAM1	0.001223648	0.096035809	0.38576189	14
PUS7	0.001263556	0.098752999	0.683124735	7
BTG3	0.001270639	0.098892758	0.517980218	21
PRPF40A	0.001277929	0.098923131	0.886799899	2
NIPBL	0.001281621	0.098923131	0.641306751	5
SLC23A2	0.001294886	0.099535713	0.349974797	20
CDC27	0.001310736	0.10034116	0.591675203	17
KCNT2	0.00132539	0.101048802	0.636900817	1
MOAP1	0.001340812	0.101809076	0.667784274	14
GAPVD1	0.001366215	0.103317954	0.76864401	9
RBM15	0.001375026	0.103564956	0.598124822	1
SMC4	0.001384555	0.103863879	0.316376749	3
SCRN3	0.001425141	0.106480826	0.837531953	2
UBR5	0.001464532	0.108988023	0.384036203	8
RNF111	0.001523466	0.112923881	0.796062755	15
WDR47	0.001564787	0.115528286	0.711733736	1
DOPEY1	0.001589687	0.116904556	0.58523058	6
WBP1	0.001694385	0.124115357	0.674314889	2
MAGED1	0.001718053	0.125099618	0.636080738	X
TCEB3	0.001721216	0.125099618	0.783070165	1
ZNF234	0.001775544	0.128095677	0.828278716	19
GLTSCR1	0.001776154	0.128095677	0.791088698	19
FAM58A	0.001792147	0.128751972	0.713011314	X
KIAA0907	0.001836244	0.131414594	0.077888247	1
BRD7	0.001848325	0.131774316	0.28992323	16
PPP3CC	0.001859349	0.132056218	0.867493195	8
FOSL2	0.001894957	0.134075395	0.649358112	2
KBTBD7	0.001904461	0.134239362	0.475473986	13
HNRNPD	0.00192809	0.135382667	0.895510831	4
PEX2	0.001935177	0.135382667	0.595289636	8
LDB1	0.001945217	0.135577286	0.748378566	10
MAP3K4	0.001964233	0.136393699	0.456532958	6
HGF	0.001994685	0.137603333	0.633204087	7
COQ9	0.001996386	0.137603333	0.853727617	16
CLGN	0.002034304	0.139701334	0.78607378	4
SNRPN	0.002050727	0.140313296	0.680100468	15
LEMD2	0.002113161	0.144057451	0.635816984	6
BMPR2	0.002250099	0.152834873	0.77119654	2
YLPM1	0.002284232	0.153990344	0.728449555	14
ATR	0.002291634	0.153990344	0.494199786	3
BIRC6	0.002291842	0.153990344	0.426410279	2
HAUS8	0.002335118	0.156335765	0.892357314	19
SIK3	0.002402712	0.159971746	0.578750917	11
KDM3B	0.002420342	0.159971746	0.168217048	5
CCDC120	0.002429711	0.159971746	0.331564871	X
TEX11	0.002434173	0.159971746	0.878592359	X
B3GNT5	0.002440174	0.159971746	0.520512349	3
COL8A2	0.002440813	0.159971746	0.57937818	1
DYRK1A	0.002454813	0.160326728	0.573445652	21
UGT2A2	0.002488754	0.161977121	0.637446857	4
PABPC3	0.002511879	0.162610714	0.494981146	13
GPR174	0.0025159	0.162610714	0.577911469	X
CCDC38	0.002565993	0.165276466	0.71846726	12
RAPGEF6	0.002593562	0.166478179	0.646782716	5
SUZ12	0.002621742	0.167710691	0.774350593	17
WWC2	0.00264748	0.168779089	0.841662187	4
GGNBP2	0.002659699	0.168981366	0.634121935	17
TNIK	0.002686284	0.170091855	0.312245791	3
DPY19L4	0.002695791	0.170117176	0.182194901	8
ABCA10	0.002709037	0.170377469	0.633285373	17
CACUL1	0.002727561	0.170966836	0.779537379	10
ERRFI1	0.002765966	0.172533294	0.767555488	1
MORC4	0.002771026	0.172533294	0.895858523	X
APPBP2	0.00279275	0.173308225	0.426255868	17
SPEN	0.002904993	0.179676717	0.686299258	1
BCL9	0.002922002	0.180132265	0.384884529	1
WWP1	0.002941024	0.180708483	0.4453787	8
IL25	0.002967711	0.181750425	0.892495393	14
CCND3	0.002996062	0.182887095	0.524218943	6
LEPREL2	0.003017979	0.183385955	0.814308935	12
UNC13C	0.00302387	0.183385955	0.678504182	15
NEUROD6	0.003043524	0.183891627	0.712097934	7
MARCKSL1	0.003051898	0.183891627	0.581535097	1
PAWR	0.003091928	0.185704582	0.753674277	12
BCORL1	0.003132529	0.187540104	0.631329288	X
PHF20L1	0.003145975	0.187660261	0.163670127	8
TAF15	0.003154629	0.187660261	0.775244618	17
MGAT2	0.003175434	0.18829818	0.913835895	14
BTBD11	0.003213201	0.189934742	0.243170555	12
CLSPN	0.003237827	0.190786659	0.779934699	1
MLF1	0.003293123	0.192970865	0.814662412	3
RNF217	0.003303905	0.192970865	0.548419232	6
SENP6	0.003305888	0.192970865	0.824135154	6
USP26	0.003335797	0.194110151	0.606036651	X
ATF7IP	0.003361147	0.194977824	0.774457967	12
BAZ2B	0.003437311	0.198778739	0.476813209	2
ING1	0.003477416	0.200477352	0.869280649	13
CEP290	0.003503578	0.201364117	0.612188431	12
KBTBD4	0.003534962	0.202251356	0.721863749	11
ZFY	0.003559338	0.202251356	0.64893762	Y
NOTCH3	0.003567003	0.202251356	0.178746501	19
MBNL1	0.003570158	0.202251356	0.501256447	3
NFE2	0.003585218	0.202251356	0.580173792	12
OR2T35	0.003599768	0.202251356	0.647314833	1
API5	0.003599942	0.202251356	0.817017552	11
JAK1	0.003605637	0.202251356	0.525340548	1
DHX15	0.003618116	0.202343689	0.68314066	4
CSMD3	0.003650677	0.202949391	0.227134008	8
ARID5B	0.003758832	0.20834189	0.765199578	10
ZNF222	0.003770524	0.208371663	0.794719812	19
TCF4	0.003835615	0.211343515	0.691459365	18
IRF6	0.003859139	0.212014306	0.55794613	1
SEC63	0.0038745	0.21223399	0.856915335	6
TMEM131	0.003910119	0.212989847	0.606315996	2
RLTPR	0.003911104	0.212989847	0.569165531	16
BRSK1	0.003937844	0.213822651	0.517917945	19
ITSN1	0.00400641	0.216915179	0.534321929	21
ZFHX3	0.00402927	0.217522328	0.764432223	16
UTY	0.004045689	0.217779322	0.631912877	Y
SBNO1	0.004061779	0.218017131	0.466605156	12
ACOT4	0.004079474	0.218339513	0.66209147	14
TACR1	0.004112349	0.219470195	0.760881219	2
ZNF146	0.004200757	0.223072029	0.217208567	19
MAZ	0.004203724	0.223072029	0.728517838	16
HECTD1	0.00432564	0.228891289	0.215117373	14
PPFIA4	0.004424684	0.232849234	0.445571215	1
CHD9	0.00442537	0.232849234	0.254588772	16
MSH2	0.004457398	0.233875686	0.744426627	2
C10orf88	0.004597795	0.239476845	0.729320053	10
SHANK1	0.004598043	0.239476845	0.585912606	19
SENP8	0.00461411	0.239476845	0.804369034	15
LMBRD2	0.004615433	0.239476845	0.468994189	5
RIMS1	0.004689311	0.242636098	0.606956281	6
IRF2BP2	0.004777416	0.24651205	0.527464219	1
MAP4K4	0.004804421	0.246888468	0.580529957	2
TMEM63A	0.004811146	0.246888468	0.416990206	1
SCAF8	0.004880847	0.249779003	0.513911936	6
ZNF225	0.004961809	0.252756048	0.665012582	19
MAP4K3	0.004974185	0.252756048	0.657067757	2
GUSB	0.004979615	0.252756048	0.551819148	7
CCPG1	0.005034949	0.254872145	0.699116808	15
LARP1	0.005052533	0.254916233	0.663199924	5
MGAT5	0.005083688	0.254916233	0.68499776	2
TOP2B	0.005090409	0.254916233	0.642042112	3
TFAM	0.005141184	0.256770546	0.905801807	10
FSIP2	0.005169212	0.256882318	0.297723325	2
FXR1	0.005170927	0.256882318	0.590096178	3
VAMP1	0.005193769	0.257332672	0.670827669	12
ARPP21	0.005245369	0.258527755	0.805494531	3
ZMYM2	0.005245571	0.258527755	0.700406489	13
PADI2	0.005362321	0.263586304	0.701806212	1
CUX1	0.005421824	0.265811671	0.47999169	7
IVNS1ABP	0.005460414	0.2663661	0.296749753	1
CTH	0.005461653	0.2663661	0.596549839	1
KIAA0430	0.00549712	0.267397662	0.588523447	16
SLC4A4	0.005534131	0.268498772	0.461839255	4
IRF2	0.005571222	0.269598069	0.499096784	4
FTSJD1	0.005613364	0.270506973	0.893884189	16
TNRC6A	0.005618968	0.270506973	0.189388666	16
STIP1	0.005645232	0.270672259	0.883180361	11
BIN2	0.005651383	0.270672259	0.55353841	12
MMP10	0.005700925	0.272346767	0.697380066	11
UBE2T	0.005734379	0.272943377	0.840759806	1
INPP4B	0.005742639	0.272943377	0.759469843	4
SF1	0.005805767	0.275243466	0.383225737	11
CNTLN	0.005897154	0.278868186	0.636561929	9
FIP1L1	0.005940265	0.280197479	0.702339406	4
BRMS1	0.00603294	0.283852099	0.833197238	11
RC3H2	0.006075457	0.284581322	0.811282591	9
DNM1L	0.006078909	0.284581322	0.201917378	12
KRTAP19-2	0.006116396	0.285620422	0.578037218	21
MAP4K5	0.006233534	0.290364564	0.758884037	14
NAA15	0.006270846	0.290929557	0.854419979	4
C15orf39	0.006276814	0.290929557	0.41252437	15
TCEB3CL	0.006356049	0.293872868	0.238627619	18
PCNX	0.006376259	0.294079372	0.581549843	14
KRTAP9-8	0.006446051	0.295163247	0.271019059	17
RASAL2	0.006454917	0.295163247	0.542679781	1
YBX2	0.006472179	0.295163247	0.321438694	17
KLRG1	0.006478769	0.295163247	0.682176844	12
SLC35B2	0.006533044	0.296911771	0.533550793	6
TTK	0.006635987	0.300858254	0.847196253	6
TFDP2	0.006692672	0.302308148	0.735209209	3
BRCC3	0.006700336	0.302308148	0.434047553	X
ELF1	0.006718065	0.302377667	0.697183518	13
NDUFC2	0.006772672	0.303847066	0.313546727	11
COL11A1	0.006808227	0.303847066	0.595779045	1
CXorf58	0.006812286	0.303847066	0.57266397	X
LRIG3	0.006849771	0.303847066	0.575494672	12
TRIM59	0.006855236	0.303847066	0.456289023	3
ATRNL1	0.006861664	0.303847066	0.733216622	10
SRSF1	0.006881003	0.303847066	0.645014531	17
GCC2	0.006895864	0.303847066	0.656419449	2
FBXL17	0.006897112	0.303847066	0.655432899	5
PAFAH1B2	0.007007826	0.307459262	0.759416756	11
MKI67	0.007012027	0.307459262	0.691736313	10
PKD2	0.007056203	0.308354917	0.877242527	4
MLH1	0.007129875	0.309540216	0.876929988	3
SNAPC1	0.007132419	0.309540216	0.824255698	14
LARP7	0.007142343	0.309540216	0.847343129	4
TSPYL2	0.007184182	0.31063273	0.66577688	X
ZNF608	0.007301357	0.314970068	0.589970298	5
ADAM33	0.007347182	0.316216603	0.678605216	20
RSRC1	0.007392461	0.317433966	0.56854823	3
MEDAG	0.007434626	0.318512353	0.411562619	13
PSCA	0.00754774	0.322618405	0.193016239	8
CDKN2C	0.007594678	0.323220617	0.815159099	1
CFHR4	0.007599382	0.323220617	0.691817559	1
OCIAD2	0.007626137	0.323220617	0.766883493	4
FEZ2	0.007631045	0.323220617	0.744385215	2
FAM175A	0.007662836	0.323545984	0.686479656	4
CEP128	0.00767337	0.323545984	0.638324744	14
OBSL1	0.007716015	0.324611379	0.51467991	2
AAMP	0.007737776	0.324795338	0.877120123	2
SPAG11A	0.00775701	0.324872608	0.617152919	8
MCRS1	0.007807491	0.326255299	0.792178331	12
MXRA8	0.007852243	0.326983015	0.382634592	1
ETV3	0.007859916	0.326983015	0.473902556	1
WNT16	0.007890036	0.327305104	0.8623313	7
ASUN	0.007920226	0.327305104	0.275579461	12
ST8SIA6	0.007951246	0.327861637	0.506572759	10
SENP3	0.008056951	0.331488521	0.871595671	17
NRXN2	0.008088143	0.331720749	0.683190131	11
ARID4B	0.008098113	0.331720749	0.51020932	1
LUC7L2	0.008128302	0.332228783	0.875265445	7
ARHGEF25	0.008221819	0.335317376	0.701492191	12
COPG2	0.00827447	0.336729452	0.186544904	7
KRT222	0.008314385	0.337618249	0.723525016	17
RBM46	0.008376944	0.339420672	0.815702872	4
MPZ	0.008415024	0.340225601	0.337998578	1
CLCN5	0.008484675	0.341911421	0.614974543	X
ZNF768	0.008493329	0.341911421	0.476912385	16
PAN3	0.008574248	0.34440579	0.742086519	13
ACIN1	0.008596697	0.34440579	0.559089065	14
HERC4	0.008610606	0.34440579	0.802979921	10
CR1	0.008654793	0.345433493	0.536539342	1
TEX26	0.008730568	0.347714897	0.785660021	13
PRDM5	0.00875781	0.348057738	0.796725395	4
TNRC18	0.008796824	0.348865972	0.468676026	7
SMAD7	0.008848279	0.349422855	0.633756699	18
GNB4	0.008883382	0.349952083	0.201045128	3
NIT1	0.008899629	0.349952083	0.424312715	1
PRKAR1A	0.008917886	0.349952083	0.856123037	17
EML5	0.008939017	0.350045928	0.387979246	14
MFRP	0.009121868	0.356458942	0.709475744	11
NFE2L3	0.009142702	0.356527218	0.6972067	7
KMT2E	0.009294686	0.361698834	0.215083932	7
MYBL1	0.009458005	0.36728912	0.374694569	8
CCDC18	0.009587162	0.371532354	0.400910719	1
CYBRD1	0.009629858	0.371756883	0.515429145	2
KIRREL	0.00963276	0.371756883	0.281779677	1
PRPF38B	0.009711519	0.37402364	0.906158387	1
YTHDC1	0.009797601	0.376562516	0.67243743	4
HEPACAM2	0.009818726	0.376599573	0.493387837	7
SMURF2	0.009899038	0.378888222	0.666644947	17
PLCL1	0.009940149	0.378888222	0.312051381	2
EIF3J	0.00995381	0.378888222	0.900086715	15
C11orf94	0.009959533	0.378888222	0.756299631	11
TNPO1	0.009997258	0.37955037	0.643903706	5
ADNP	0.01003329	0.380145671	0.607533526	20
DNAJC11	0.010114102	0.381512351	0.893535665	1
ZMAT1	0.010129068	0.381512351	0.710371088	X
CCBE1	0.010130635	0.381512351	0.456753187	18
TBC1D19	0.010229957	0.382968404	0.81382917	4
PRB3	0.010232567	0.382968404	0.770072254	12
LAMA2	0.010234035	0.382968404	0.637007514	6
GNA13	0.010264205	0.382968404	0.276839991	17
MCM7	0.010271812	0.382968404	0.651405722	7
INPP4A	0.010323586	0.383693459	0.526742738	2
ERO1LB	0.010346833	0.383693459	0.16883238	1
TAF3	0.010352883	0.383693459	0.596620107	10
PXK	0.010385902	0.383963854	0.842307136	3
LETM2	0.010407306	0.383963854	0.825257602	8
RNF103	0.010432503	0.383963854	0.694256107	2
SUFU	0.010442403	0.383963854	0.895247107	10
GRPEL2	0.010603536	0.389122678	0.725484423	5
MIB1	0.010626091	0.389185795	0.529749013	18
NCAPH2	0.010649343	0.389274109	0.643100853	22
ASH1L	0.010713884	0.390868447	0.174556383	1
PIGB	0.0107704	0.39216434	0.557880723	15
IGSF1	0.010911375	0.396524462	0.276658854	X
AKIP1	0.010993809	0.398744371	0.591868615	11
ANKRD12	0.011035609	0.398977642	0.523737309	18
SLC35F1	0.01104296	0.398977642	0.719076087	6
SCAF11	0.011073732	0.399317049	0.677738216	12
MALT1	0.011103666	0.399625005	0.894960707	18
SMARCD2	0.011241843	0.403361742	0.668079838	17
SAMD4A	0.011252653	0.403361742	0.244714453	14
RABL6	0.011276183	0.403361742	0.423736852	9
CEL	0.011310121	0.403361742	0.881062674	9
FAM222B	0.011315464	0.403361742	0.547758324	17
C1orf53	0.011399305	0.404256275	0.507334856	1
ATP11C	0.011408326	0.404256275	0.729719845	X
MED1	0.011427742	0.404256275	0.273961054	17
EOMES	0.01144877	0.404256275	0.690786084	3
IAH1	0.011474787	0.404410459	0.624038643	2
MEF2B	0.011543242	0.406056891	0.147294035	19
DOCK6	0.011604042	0.407428398	0.605093122	19
DENND4A	0.011674275	0.409079976	0.36110194	15
AMY2A	0.011694882	0.409079976	0.720702284	1
MSX1	0.011717723	0.409112816	0.642717945	4
RIC3	0.011777614	0.40989741	0.881531181	11
ZNF492	0.011785684	0.40989741	0.76385316	19
GPRASP1	0.011829871	0.40989741	0.441763205	X
