Samples	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS9	SBS13	SBS17a	SBS17b	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS38	SBS40	SBS54
AC_WGS_45	4	0	22	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
AC_WGS_46	2	0	39	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
AC_WGS_49	200	0	1437	0	0	0	0	0	0	0	0	0	0	0	74	0	0	603	0	0
AC_WGS_50	318	0	1761	0	0	0	0	0	0	289	667	0	0	0	0	1008	0	509	3719	0
AC_WGS_51	149	0	401	128	0	0	60	0	0	0	0	0	0	0	65	0	0	265	882	0
AC_WGS_52	307	0	914	0	294	0	0	0	0	0	0	0	0	0	0	0	0	570	1817	0
AC_WGS_53	25	70	66	0	90	0	25	0	44	0	0	0	0	0	0	0	0	0	260	0
AC_WGS_11	305	0	871	93	0	0	0	0	0	0	0	0	0	0	0	0	0	882	1152	0
AC_WGS_37	30	87	322	0	54	0	0	0	38	0	0	0	0	0	0	0	55	45	0	0
RC596TH1	187	0	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1588	0	0
RC597TH1	38	232	405	0	126	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0
RC598TH1	147	131	545	0	0	0	0	0	111	0	0	0	0	0	0	0	51	0	0	0
RC599TH1	293	0	634	0	0	0	0	518	112	0	0	0	0	0	0	0	0	321	1327	0
RC602TH1	120	0	104	426	181	0	166	0	0	0	0	0	0	0	0	0	0	0	821	0
RC603TH1	1282	0	0	20149	5521	0	3879	0	0	0	0	0	0	0	0	0	0	0	13857	0
